1477299365.7987733,19.83,16.24
1477299383.5751793,19.54,16.74
1477299393.5950963,19.54,16.45
1477299403.6127267,19.4,18.75
1477299413.631715,19.54,19.33
1477299423.6503174,19.83,17.38
1477299433.6690953,19.47,16.38
1477299443.6832082,19.47,18.53
1477299453.699873,19.61,21.57
1477299463.7180007,20.05,20.63
1477299473.7570982,19.98,18.39
1477299483.7746303,19.54,18.32
1477299493.7917163,19.61,18.68
1477299503.809905,19.54,18.32
1477299513.8256645,19.4,19.54
1477299523.8422258,19.18,20.56
1477299533.8595402,19.47,20.41
1477299543.8787448,19.61,17.46
1477299553.8952715,19.54,17.31
1477299563.9112,18.96,17.46
1477299573.9300747,19.33,16.53
1477299583.9482996,19.69,16.45
1477299593.9636805,19.76,14.89
1477299603.9789667,19.98,13.34
1477299613.9938242,19.9,16.24
1477299624.0125725,19.83,22.96
1477299634.0261397,19.83,19.18
1477299644.04019,19.4,23.4
1477299654.0528293,19.25,23.33
1477299664.068402,19.33,16.45
1477299674.0842059,19.25,18.25
1477299684.0994797,19.47,17.31
1477299694.1153092,19.69,19.98
1477299704.1330419,19.69,20.99
1477299714.1523418,19.83,17.17
1477299724.1683083,19.83,16.81
1477299734.1842852,19.54,18.96
1477299744.201526,19.54,17.81
1477299754.2165332,19.83,20.19
1477299764.2318897,19.33,18.1
1477299774.248751,19.47,16.81
1477299784.2668493,19.33,18.96
1477299794.2816024,19.83,14.82
1477299804.2968102,19.76,23.92
1477299814.3124127,19.61,23.7
1477299824.3290339,20.05,17.1
1477299834.3427567,19.76,21.57
1477299844.3612294,19.61,21.28
1477299854.376078,19.47,20.05
1477299864.3901553,19.83,17.1
1477299874.4057689,19.69,20.63
1477299884.4201527,19.04,21.28
1477299894.435488,19.33,17.1
1477299904.4504495,19.54,19.33
1477299914.4632757,19.54,16.74
1477299924.4785092,19.54,18.89
1477299934.4949708,20.12,16.6
1477299944.51097,20.34,15.81
1477299954.5246215,19.98,20.99
1477299964.538807,19.98,18.25
1477299974.5538116,19.98,18.89
1477299984.5679216,19.69,15.03
1477299994.5836692,19.76,18.25
1477300004.5990858,19.18,19.11
1477300014.613662,19.4,14.96
1477300024.6266935,19.54,25.17
1477300034.6390886,19.4,25.54
1477300044.6533897,19.83,13.48
1477300054.6682656,19.98,13.27
1477300064.6850982,19.47,19.4
1477300074.6990383,19.18,14.04
1477300084.715426,19.4,16.17
1477300094.7316942,19.69,19.47
1477300104.7479744,19.4,16.67
1477300114.7638657,19.69,19.83
1477300124.780132,19.54,15.17
1477300134.797213,19.83,18.89
1477300144.8122127,19.98,21.36
1477300154.8282177,19.76,16.6
1477300164.8425093,19.83,19.33
1477300174.8584473,20.12,16.45
1477300184.8736064,20.19,20.56
1477300194.8877122,19.47,23.77
1477300204.9028857,19.47,17.6
1477300214.9566746,19.83,20.99
1477300224.9718754,19.4,20.41
1477300234.9882603,19.4,15.46
1477300245.0222085,19.4,20.12
1477300255.0365756,19.54,28.22
1477300265.052791,19.25,21.43
1477300275.0662382,19.33,14.96
1477300285.0823696,19.4,19.25
1477300295.0975595,19.61,14.82
1477300305.1100757,20.05,12.77
1477300315.1248608,19.76,18.32
1477300325.141252,19.33,17.81
1477300335.157213,19.47,19.69
1477300345.173842,19.69,18.03
1477300355.2100832,19.9,17.03
1477300365.2260628,19.9,17.38
1477300375.2410638,19.47,18.32
1477300385.2557948,19.61,16.31
1477300395.2696135,20.27,15.74
1477300405.282292,19.61,24.58
1477300415.292822,19.18,20.77
1477300425.3073392,19.76,14.47
1477300435.3215392,19.76,18.32
1477300445.3365252,19.47,18.53
1477300455.3523216,19.61,18.46
1477300465.3670135,19.69,14.32
1477300475.3802571,19.69,15.67
1477300485.3943481,19.83,18.89
1477300495.4087667,19.9,19.04
1477300505.4248092,19.76,16.24
1477300515.4620054,19.76,16.45
1477300525.4804983,19.9,18.32
1477300535.4936054,19.54,19.9
